City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Labuhan,ID,79.11,scattered clouds,-6.8844,112.2051,DoubleFAG
362,Chimore,BO,81.39,overcast clouds,-16.9833,-65.1333,Bichito
364,Mana,GF,83.3,few clouds,5.6592,-53.7767,LE SAMANA
367,Chaiya,TH,80.67,overcast clouds,9.3862,99.1986,JP Place
368,Peachtree City,US,84.18,scattered clouds,33.3968,-84.5958,Hilton Garden Inn Atlanta/Peachtree City
370,Karimganj,IN,78.98,clear sky,24.8667,92.35,Ahar Hotel And Aheli Restaurant
372,Camacari,BR,82.17,broken clouds,-12.6975,-38.3242,Sítio Blasi
377,Matara,LK,80.64,few clouds,5.9485,80.5353,Amaloh Boutique Resort
380,Ostroh,UA,82.6,scattered clouds,50.3294,26.5143,Atlant
382,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
384,Thinadhoo,MV,83.53,overcast clouds,0.5333,72.9333,Kost Pria
387,Camacupa,AO,77.0,clear sky,-12.0167,17.4833,Kost Pria
389,Dingle,PH,79.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
392,Virginia Beach,US,87.03,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
396,Miles City,US,75.7,broken clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
397,Sao Jose Da Coroa Grande,BR,78.37,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
400,Staraya Russa,RU,82.71,overcast clouds,57.9944,31.3608,Hotel Polist
401,Aden,YE,88.52,broken clouds,12.7794,45.0367,Sama Emirate Hotel
404,Teluknaga,ID,84.18,broken clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
406,Gamba,GA,76.57,overcast clouds,-2.65,10.0,Kost Pria
408,Yenagoa,NG,80.69,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
412,Darnah,LY,82.96,clear sky,32.767,22.6367,فندق الفردوس
417,Barranquilla,CO,85.78,scattered clouds,10.9639,-74.7964,HOTEL AVANTY
418,Tambacounda,SN,89.64,broken clouds,13.7539,-13.7586,Kost Pria
422,Filadelfia,US,87.87,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
423,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
424,Sancti Spiritus,CU,83.97,scattered clouds,21.9297,-79.4425,Hostal El Parque
427,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
430,Pangai,TO,77.07,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
432,Fare,PF,78.48,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
435,Port Blair,IN,83.21,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
438,Tornio,FI,78.82,scattered clouds,65.8481,24.1466,Park Hotel Tornio
440,Tabou,CI,79.38,scattered clouds,4.423,-7.3528,hotêl doufoulougou
441,Ternate,ID,81.07,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
444,Biak,ID,78.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
445,Gevgelija,MK,78.66,broken clouds,41.1392,22.5025,Ramada Plaza by Wyndham Gevgelija
446,Vigia Del Fuerte,CO,82.0,overcast clouds,6.5789,-76.8863,"Hotel ""El Parque"""
447,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
454,Wajir,KE,87.01,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
456,Essex,US,87.37,broken clouds,40.7834,-74.2163,Just Greens
458,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Hotel Continental
460,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
461,Zhenhai,CN,82.08,overcast clouds,24.2582,118.0905,In Zhijian Guesthouse
465,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
466,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
467,Huilong,CN,79.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
468,Omboue,GA,77.43,broken clouds,-1.5746,9.2618,Hotel Olako
470,Weymouth,US,81.05,broken clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
471,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
473,Leh,IN,76.71,clear sky,34.1667,77.5833,Hotel Ladakh Greens
477,Sukumo,JP,75.25,overcast clouds,32.9333,132.7333,Sukumojo
478,Kourou,GF,87.85,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
479,Senovo,SI,83.39,clear sky,46.0236,15.4769,Gostišče Senica Miha Senica s.p.
480,Tezu,IN,79.92,broken clouds,27.9167,96.1667,Circuit House
481,Ko Samui,TH,85.53,moderate rain,9.5357,99.9357,The Passage
484,Maturin,VE,85.44,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
486,Nieuw Nickerie,SR,83.34,few clouds,5.95,-56.9833,Ishwardat Inn
487,Palmeiras De Goias,BR,87.22,clear sky,-16.805,-49.9258,Hotel Água Virada
488,Vieste,IT,83.46,clear sky,41.8825,16.175,Hotel Falcone
489,Sorong,ID,79.02,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
490,Lodeynoye Pole,RU,80.38,overcast clouds,60.726,33.5531,Svir Mini-Hotel
491,Kirakira,SB,79.88,clear sky,-10.4544,161.9205,SanBiz Lodge
493,Linxi,CN,77.05,scattered clouds,39.7,118.4333,Peace Hotel
499,The Valley,AI,84.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
501,Tiznit,MA,81.28,clear sky,29.5833,-9.5,Kost Pria
502,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
503,Houma,US,87.01,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
507,Dawei,MM,77.32,light rain,14.0833,98.2,Hotel Dawei
508,Kosonsoy,UZ,84.76,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
509,Yuli,NG,89.38,broken clouds,9.6989,10.2744,Kost Pria
510,Babanka,UA,81.55,clear sky,48.7097,30.4483,Отель Колумб
511,Pangkalanbuun,ID,75.49,light rain,-2.6833,111.6167,Grand Kecubung Hotel
512,Jinchang,CN,81.28,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
513,Xuddur,SO,76.95,overcast clouds,4.1213,43.8894,Banjanay Hotel
515,Bay City,US,77.11,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
516,Cedar City,US,77.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
517,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
522,Mathbaria,BD,82.35,clear sky,22.2876,89.9593,Shikdar Hotel
523,Porto Novo,BJ,81.64,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Quzhou,CN,78.33,overcast clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
