City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Souillac,MU,2022-06-29 11:53:47,-20.5167,57.5167,73.78,49,75,12.66
179,Nelson Bay,AU,2022-06-29 11:53:47,-32.7167,152.15,57.0,92,100,3.0
180,Kasempa,ZM,2022-06-29 11:53:48,-13.4584,25.8338,74.19,28,39,6.11
181,Tuktoyaktuk,CA,2022-06-29 11:53:48,69.4541,-133.0374,39.9,96,100,11.21
182,Agadir,MA,2022-06-29 11:53:49,30.4202,-9.5982,77.45,57,1,9.93
183,Touros,BR,2022-06-29 11:53:49,-5.1989,-35.4608,76.64,83,63,13.89
184,Mahebourg,MU,2022-06-29 11:53:50,-20.4081,57.7,73.69,49,75,12.66
185,Lom Sak,TH,2022-06-29 11:53:50,16.7798,101.2422,87.69,62,20,3.44
186,Ust-Tsilma,RU,2022-06-29 11:53:52,65.441,52.1498,60.66,36,42,14.5
187,Tazovskiy,RU,2022-06-29 11:53:53,67.4667,78.7,53.26,63,92,16.75
188,Neiafu,TO,2022-06-29 11:53:53,-18.65,-173.9833,80.82,77,17,13.31
189,Kloulklubed,PW,2022-06-29 11:53:54,7.0419,134.2556,84.43,70,28,10.22
190,Labuan,MY,2022-06-29 11:53:55,5.2767,115.2417,82.76,78,20,2.3
191,Herat,AF,2022-06-29 11:53:59,34.5,62.0,103.78,5,0,33.46
192,Huilong,CN,2022-06-29 11:54:00,31.8111,121.655,78.28,89,100,12.62
193,Kieta,PG,2022-06-29 11:54:00,-6.2167,155.6333,78.69,84,80,7.14
194,Faanui,PF,2022-06-29 11:54:02,-16.4833,-151.75,80.02,73,8,18.1
195,Karratha,AU,2022-06-29 11:54:03,-20.7377,116.8463,72.66,29,0,15.41
196,Smithers,CA,2022-06-29 11:54:04,54.7804,-127.1743,55.72,94,75,4.61
197,Alofi,NU,2022-06-29 11:50:07,-19.0595,-169.9187,75.09,94,11,4.61
198,Parkes,AU,2022-06-29 11:54:06,-33.1333,148.1833,49.35,75,100,5.12
199,Ponta Delgada,PT,2022-06-29 11:54:06,37.7333,-25.6667,74.5,68,75,9.22
200,Lyuban,BY,2022-06-29 11:54:06,52.7985,28.0048,84.92,52,82,4.23
201,Codrington,AU,2022-06-29 11:54:08,-38.2667,141.9667,48.22,69,100,7.47
202,Yellowknife,CA,2022-06-29 11:54:08,62.456,-114.3525,48.72,81,20,5.75
203,Haines Junction,CA,2022-06-29 11:54:09,60.7522,-137.5108,44.55,87,11,1.14
204,San Cristobal,VE,2022-06-29 11:54:09,7.7669,-72.225,66.38,89,97,1.34
205,Ancud,CL,2022-06-29 11:54:10,-41.8697,-73.8203,43.23,81,32,6.49
206,Ouadda,CF,2022-06-29 11:54:11,8.0777,22.4007,72.55,84,100,3.49
207,Labelle,US,2022-06-29 11:54:12,26.7617,-81.4384,75.27,87,9,2.57
208,Havre-Saint-Pierre,CA,2022-06-29 11:54:12,50.2334,-63.5986,59.36,77,0,6.91
209,Griffith,US,2022-06-29 11:54:13,41.5284,-87.4237,69.39,69,40,4.61
210,Minbu,MM,2022-06-29 11:54:14,20.1833,94.8833,90.63,50,100,11.48
211,Carutapera,BR,2022-06-29 11:54:14,-1.195,-46.02,81.41,80,56,7.7
212,Tarakan,ID,2022-06-29 11:50:44,3.3,117.6333,81.9,83,40,5.75
